Start with N = 1000, C0 = 10, max_point = 5, feature_case = core
The time for constructing x_order and v_order 593 milliseconds
The time for constructing optimization model is 8907 milliseconds, start solving the model
Problem
  Name                   :                 
  Objective sense        : minimize        
  Type                   : CONIC (conic optimization problem)
  Constraints            : 3259            
  Affine conic cons.     : 2000            
  Disjunctive cons.      : 0               
  Cones                  : 0               
  Scalar variables       : 5123            
  Matrix variables       : 0               
  Integer variables      : 1123            

Optimizer started.
Mixed integer optimizer started.
Threads used: 10
Presolve started.
Presolve terminated. Time = 0.39, probing time =  0.23
Presolved problem: 7085 variables, 2198 constraints, 15205 non-zeros
Presolved problem: 108 general integer, 977 binary, 6000 continuous
Presolved problem: 2000 cones
Clique table size: 107
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
13255    13315    12868    110      4.6983720756e+02     3.3958167557e+02     27.72       365.5 
13477    13535    13086    78       4.6983720756e+02     3.3958167557e+02     27.72       370.9 
13699    13757    13308    51       4.6983720756e+02     3.3958167557e+02     27.72       376.2 
13921    13979    13530    73       4.6983720756e+02     3.3958167557e+02     27.72       381.6 
14142    14200    13745    50       4.6983720756e+02     3.3958167557e+02     27.72       386.7 
14360    14420    13941    50       4.6983720756e+02     3.3958167557e+02     27.72       391.8 
14573    14644    14114    71       4.6983720756e+02     3.3958167557e+02     27.72       396.8 
14795    14869    14284    89       4.6983720756e+02     3.3958167557e+02     27.72       401.9 
15015    15092    14474    109      4.6983720756e+02     3.3958167557e+02     27.72       407.1 
15233    15315    14674    105      4.6983720756e+02     3.3958167557e+02     27.72       412.4 
15448    15538    14871    43       4.6983720756e+02     3.3958167557e+02     27.72       417.7 
15668    15759    15081    72       4.6983720756e+02     3.3958167557e+02     27.72       423.1 
15888    15979    15301    49       4.6983720756e+02     3.3958167557e+02     27.72       428.6 
16108    16199    15521    89       4.6983720756e+02     3.3958167557e+02     27.72       434.1 
16328    16419    15741    77       4.6983720756e+02     3.3958167557e+02     27.72       439.6 
16548    16639    15961    44       4.6983720756e+02     3.3958167557e+02     27.72       445.0 
16766    16859    16171    52       4.6983720756e+02     3.3958167557e+02     27.72       450.6 
16981    17074    16386    78       4.6983720756e+02     3.3958167557e+02     27.72       455.9 
17198    17291    16603    46       4.6983720756e+02     3.3958167557e+02     27.72       461.2 
17384    17477    16789    44       4.3410604995e+02     3.3958167557e+02     21.77       466.9 
17603    17696    17008    48       4.3410604995e+02     3.3958167557e+02     21.77       472.2 
17824    17917    17227    45       4.3410604995e+02     3.3958167557e+02     21.77       478.2 
18044    18137    17445    82       4.3410604995e+02     3.3958167557e+02     21.77       483.6 
18264    18357    17659    41       4.3410604995e+02     3.3958167557e+02     21.77       488.8 
18482    18578    17857    34       4.3410604995e+02     3.3958167557e+02     21.77       494.2 
18706    18802    18063    57       4.3410604995e+02     3.3958167557e+02     21.77       499.5 
18925    19025    18250    76       4.3410604995e+02     3.3958167557e+02     21.77       504.8 
19145    19245    18450    94       4.3410604995e+02     3.3958167557e+02     21.77       510.1 
19365    19468    18636    113      4.3410604995e+02     3.3958167557e+02     21.77       515.3 
19584    19694    18821    127      4.3410604995e+02     3.3958167557e+02     21.77       520.5 
19806    19919    19009    145      4.3410604995e+02     3.3958167557e+02     21.77       525.7 
20026    20139    19217    101      4.3410604995e+02     3.3958167557e+02     21.77       530.9 
20247    20362    19436    115      4.3410604995e+02     3.3958167557e+02     21.77       536.2 
20468    20584    19633    36       4.3410604995e+02     3.3958167557e+02     21.77       541.5 
20688    20804    19849    107      4.3410604995e+02     3.3958167557e+02     21.77       546.9 
20909    21025    20070    49       4.3410604995e+02     3.3958167557e+02     21.77       552.3 
21130    21246    20287    45       4.3410604995e+02     3.3958167557e+02     21.77       557.6 
21351    21468    20502    114      4.3410604995e+02     3.3958167557e+02     21.77       563.0 
21567    21688    20706    44       4.3410604995e+02     3.3958167557e+02     21.77       568.3 
21767    21889    20902    103      4.3410604995e+02     3.3958167557e+02     21.77       573.8 
21987    22110    21112    83       4.3410604995e+02     3.3958167557e+02     21.77       579.2 
22206    22331    21313    47       4.3410604995e+02     3.3958167557e+02     21.77       584.6 
22423    22553    21524    81       4.3410604995e+02     3.3958167557e+02     21.77       589.9 
22642    22774    21723    54       4.3410604995e+02     3.3958167557e+02     21.77       595.3 
22862    22994    21935    75       4.3410604995e+02     3.3958167557e+02     21.77       600.5 
23079    23214    22140    96       4.3410604995e+02     3.3958167557e+02     21.77       605.8 
23301    23437    22342    117      4.3410604995e+02     3.3958167557e+02     21.77       611.0 
23522    23659    22551    139      4.3410604995e+02     3.3958167557e+02     21.77       616.3 
23737    23880    22752    157      4.3410604995e+02     3.3958167557e+02     21.77       621.5 
23957    24101    22946    171      4.3410604995e+02     3.3958167557e+02     21.77       626.6 
24175    24323    23130    37       4.3410604995e+02     3.3958167557e+02     21.77       632.0 
24390    24547    23317    80       4.3410604995e+02     3.3958167557e+02     21.77       637.2 
24612    24771    23501    62       4.3410604995e+02     3.3958167557e+02     21.77       642.6 
24832    24995    23687    104      4.3410604995e+02     3.3958167557e+02     21.77       648.0 
25045    25220    23874    52       4.3410604995e+02     3.3958167557e+02     21.77       653.5 
25263    25443    24066    113      4.3410604995e+02     3.3958167557e+02     21.77       658.8 
25481    25666    24262    81       4.3410604995e+02     3.3958167557e+02     21.77       664.1 
25704    25889    24473    107      4.3410604995e+02     3.3958167557e+02     21.77       669.4 
25924    26109    24683    86       4.3410604995e+02     3.3958167557e+02     21.77       674.9 
26120    26305    24879    77       4.3410604995e+02     3.3958167557e+02     21.77       680.7 
26339    26524    25098    118      4.3410604995e+02     3.3958167557e+02     21.77       686.4 
26555    26740    25314    138      4.3410604995e+02     3.3958167557e+02     21.77       692.0 
26774    26959    25533    159      4.3410604995e+02     3.3958167557e+02     21.77       697.6 
26995    27180    25750    181      4.3410604995e+02     3.3958167557e+02     21.77       703.0 
27217    27402    25946    202      4.3410604995e+02     3.3958167557e+02     21.77       708.3 
27434    27625    26109    216      4.3410604995e+02     3.3958167557e+02     21.77       713.5 
27651    27850    26300    233      4.3410604995e+02     3.3958167557e+02     21.77       718.7 
27875    28074    26494    100      4.3410604995e+02     3.3958167557e+02     21.77       723.8 
28092    28296    26675    43       4.3410604995e+02     3.3958167557e+02     21.77       729.2 
