ORIGINAL
Problem
  Name                   :                 
  Objective sense        : minimize        
  Type                   : CONIC (conic optimization problem)
  Constraints            : 28682           
  Affine conic cons.     : 20000           
  Disjunctive cons.      : 0               
  Cones                  : 0               
  Scalar variables       : 44342           
  Matrix variables       : 0               
  Integer variables      : 4342            

Optimizer started.
Mixed integer optimizer started.
Threads used: 20
Presolve started.
Presolve terminated. Time = 3.77, probing time =  3.15
Presolved problem: 64276 variables, 24251 constraints, 176760 non-zeros
Presolved problem: 1 general integer, 4275 binary, 60000 continuous
Presolved problem: 20000 cones
Clique table size: 4251
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
28214    28021    3415     98       4.8166272609e+03     4.7242868147e+03     1.92        1870.6
28707    28514    3492     103      4.8166272609e+03     4.7257135363e+03     1.89        1897.3
29215    29022    3532     32       4.8166272609e+03     4.7273178275e+03     1.85        1925.9
29721    29528    3616     113      4.8166272609e+03     4.7299313296e+03     1.80        1956.2
30226    30033    3685     117      4.8166272609e+03     4.7299746922e+03     1.80        1987.7
30742    30549    3777     46       4.8166272609e+03     4.7303290416e+03     1.79        2014.9
31251    31058    3830     40       4.8166272609e+03     4.7329924592e+03     1.74        2045.8
31770    31577    3921     29       4.8166272609e+03     4.7331032050e+03     1.73        2072.7
32291    32098    3986     50       4.8166272609e+03     4.7341072519e+03     1.71        2097.9
32812    32619    4011     32       4.8166272609e+03     4.7341734564e+03     1.71        2123.0
33332    33139    4107     54       4.8166272609e+03     4.7348654899e+03     1.70        2150.8
33852    33659    4199     37       4.8166272609e+03     4.7353276578e+03     1.69        2175.9
34346    34153    4291     70       4.8166272609e+03     4.7359365715e+03     1.68        2204.5
34870    34677    4361     49       4.8166272609e+03     4.7359365715e+03     1.68        2229.8
35385    35192    4408     51       4.8166272609e+03     4.7362764324e+03     1.67        2259.2
35906    35713    4449     43       4.8166272609e+03     4.7382385395e+03     1.63        2284.2
36430    36237    4541     94       4.8166272609e+03     4.7386718033e+03     1.62        2308.5
36941    36748    4590     56       4.8166272609e+03     4.7390247854e+03     1.61        2337.7
37463    37270    4646     70       4.8166272609e+03     4.7393358358e+03     1.60        2363.8
37979    37786    4718     76       4.8166272609e+03     4.7395731548e+03     1.60        2390.7
38504    38311    4811     40       4.8166272609e+03     4.7396633094e+03     1.60        2416.1
39029    38836    4874     33       4.8166272609e+03     4.7399897921e+03     1.59        2440.5
39547    39354    4932     111      4.8166272609e+03     4.7404680280e+03     1.58        2467.6
40039    39846    5024     33       4.8166272609e+03     4.7417169155e+03     1.56        2495.5
40563    40370    5082     35       4.8166272609e+03     4.7418004108e+03     1.55        2519.6
41089    40896    5180     108      4.8166272609e+03     4.7421050010e+03     1.55        2543.7
41609    41416    5252     49       4.8166272609e+03     4.7421360458e+03     1.55        2571.2
42117    41924    5324     78       4.8166272609e+03     4.7421996899e+03     1.55        2597.3
42634    42441    5393     79       4.8166272609e+03     4.7436444005e+03     1.52        2622.8
43154    42961    5463     98       4.8166272609e+03     4.7442467926e+03     1.50        2648.5
43671    43478    5494     33       4.8166272609e+03     4.7443213271e+03     1.50        2675.8
44195    44002    5534     39       4.8166272609e+03     4.7446243286e+03     1.49        2702.5
44726    44533    5555     24       4.8166272609e+03     4.7450097116e+03     1.49        2727.6
45250    45057    5609     25       4.8166272609e+03     4.7451452784e+03     1.48        2753.8
45778    45585    5691     58       4.8166272609e+03     4.7458322482e+03     1.47        2779.2
46317    46124    5778     39       4.8166272609e+03     4.7458530667e+03     1.47        2803.5
46838    46645    5845     38       4.8166272609e+03     4.7464597302e+03     1.46        2832.3
47342    47149    5903     42       4.8166272609e+03     4.7468693838e+03     1.45        2864.7
47867    47674    5988     38       4.8166272609e+03     4.7468924849e+03     1.45        2891.4
48393    48200    6044     67       4.8166272609e+03     4.7474667795e+03     1.44        2917.9
48922    48729    6079     42       4.8166272609e+03     4.7477653331e+03     1.43        2941.5
49452    49259    6141     91       4.8166272609e+03     4.7479052984e+03     1.43        2967.6
49975    49782    6196     129      4.8166272609e+03     4.7481357980e+03     1.42        2992.1
50503    50310    6266     117      4.8166272609e+03     4.7483887032e+03     1.42        3016.8
50999    50806    6338     57       4.8166272609e+03     4.7488002256e+03     1.41        3042.5
51525    51332    6402     52       4.8166272609e+03     4.7489679926e+03     1.40        3067.5
52048    51855    6465     36       4.8166272609e+03     4.7490319677e+03     1.40        3092.2
52568    52375    6497     43       4.8166272609e+03     4.7492202436e+03     1.40        3117.5
