Start with N = 5000, C0 = 10, max_point = 5, feature_case = full
The time for constructing x_order and v_order 530 milliseconds
The time for constructing optimization model is 7741 milliseconds, start solving the model
Problem
  Name                   :                 
  Objective sense        : minimize        
  Type                   : CONIC (conic optimization problem)
  Constraints            : 25576           
  Affine conic cons.     : 10000           
  Disjunctive cons.      : 0               
  Cones                  : 0               
  Scalar variables       : 27789           
  Matrix variables       : 0               
  Integer variables      : 7789            

Optimizer started.
Mixed integer optimizer started.
Threads used: 10
Presolve started.
Presolve terminated. Time = 2.56, probing time =  2.13
Presolved problem: 37591 variables, 17518 constraints, 234880 non-zeros
Presolved problem: 1 general integer, 7590 binary, 30000 continuous
Presolved problem: 10000 cones
Clique table size: 7518
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
14845    14235    2972     42       2.3223090650e+03     2.1944443206e+03     5.51        3230.6
15074    14456    3009     47       2.3223090650e+03     2.1946767440e+03     5.50        3271.8
15285    14665    3056     16       2.3223090650e+03     2.1947398308e+03     5.49        3312.2
15502    14880    3113     54       2.3223090650e+03     2.1947398308e+03     5.49        3363.1
15724    15099    3167     26       2.3223090650e+03     2.1950887904e+03     5.48        3395.8
15945    15321    3220     30       2.3223090650e+03     2.1951694554e+03     5.47        3436.4
16175    15550    3282     24       2.3223090650e+03     2.1953778408e+03     5.47        3472.3
16406    15781    3347     32       2.3223090650e+03     2.1955585836e+03     5.46        3512.3
16630    16005    3383     55       2.3223090650e+03     2.1955860128e+03     5.46        3542.7
16868    16243    3445     56       2.3223090650e+03     2.1958940907e+03     5.44        3577.8
17117    16492    3494     24       2.3223090650e+03     2.1960784692e+03     5.44        3617.8
17357    16732    3524     52       2.3223090650e+03     2.1961945348e+03     5.43        3663.0
17606    16981    3569     45       2.3223090650e+03     2.1964038045e+03     5.42        3698.1
17831    17206    3614     36       2.3223090650e+03     2.1964653902e+03     5.42        3746.1
18062    17438    3647     51       2.3223090650e+03     2.1965881535e+03     5.41        3788.4
18312    17688    3681     59       2.3223090650e+03     2.1967878528e+03     5.41        3821.4
18556    17933    3719     65       2.3223090650e+03     2.1968669512e+03     5.40        3858.6
18777    18154    3748     35       2.3223090650e+03     2.1970299442e+03     5.39        3903.3
19015    18392    3780     55       2.3223090650e+03     2.1970927694e+03     5.39        3933.4
19244    18621    3809     65       2.3223090650e+03     2.1972415441e+03     5.39        3971.7
19488    18865    3835     73       2.3223090650e+03     2.1974476258e+03     5.38        4007.6
19708    19085    3871     32       2.3223090650e+03     2.1975009786e+03     5.37        4052.5
